category,contract,variant,slither,aderyn,semgrep,solhint,mythril,halmos,echidna,medusa,groq,gemini,qwen
OWASP_06,MVE_O6_Vuln,Vuln,⚠️ 8,✅,⚠️ 3,✅,⚠️ 8,—,🔴 VULN,🔴 VULN,🟡 4/10,🔴 2/10,🔴 3/10
OWASP_06,MVE_O6_Vuln2,Vuln,⚠️ 4,✅,⚠️ 2,✅,⚠️ 1,—,🔴 VULN,🔴 VULN,🟡 4/10,🔴 2/10,🔴 3/10
OWASP_07,MVE_O7_Fixed,Fixed,⚠️ 4,✅,⚠️ 4,✅,✅ 0,—,✅ OK,✅ OK,🟡 6/10,🔴 3/10,🟡 5/10
OWASP_07,MVE_O7_Vuln,Vuln,⚠️ 5,✅,⚠️ 4,✅,✅ 0,—,🔴 VULN,🔴 VULN,🟡 4/10,🔴 2/10,🟡 4/10
OWASP_08,MVE_O8_Fixed,Fixed,⚠️ 3,✅,⚠️ 3,✅,⚠️ 3,—,✅ OK,✅ OK,🟢 7/10,🟢 9/10,🟢 9/10
OWASP_08,MVE_O8_Fixed2,Fixed,⚠️ 4,✅,⚠️ 3,✅,⚠️ 3,—,✅ OK,✅ OK,🟢 8/10,🟢 9/10,🟢 9/10
OWASP_08,MVE_O8_Vuln,Vuln,⚠️ 4,✅,⚠️ 2,✅,⚠️ 3,—,✅ OK,✅ OK,🟡 4/10,🔴 2/10,🟡 4/10
OWASP_08,MVE_O8_Vuln2,Vuln,⚠️ 5,✅,⚠️ 3,✅,⚠️ 3,—,✅ OK,✅ OK,🔴 2/10,🔴 2/10,🔴 3/10
OWASP_09,MVE_O9_Fixed,Fixed,⚠️ 2,✅,⚠️ 3,✅,✅ 0,✅ PASS,✅ OK,✅ OK,🟢 8/10,🔴 3/10,🟡 4/10
OWASP_09,MVE_O9_Fixed2,Fixed,⚠️ 2,✅,⚠️ 4,✅,✅ 0,—,✅ OK,✅ OK,🟢 8/10,🔴 2/10,🔴 3/10
OWASP_09,MVE_O9_Vuln,Vuln,⚠️ 2,✅,⚠️ 2,✅,⚠️ 1,🔴 FAIL,🔴 VULN,🔴 VULN,🟡 4/10,🟡 6/10,🔴 3/10
OWASP_09,MVE_O9_Vuln2,Vuln,⚠️ 2,✅,⚠️ 2,✅,⚠️ 1,—,🔴 VULN,🔴 VULN,🔴 2/10,🔴 2/10,🔴 3/10
OWASP_10,MVE_O10_Fixed,Fixed,⚠️ 5,✅,⚠️ 1,✅,✅ 0,—,✅ OK,✅ OK,🟢 8/10,🔴 2/10,🟢 8/10
OWASP_10,MVE_O10_Vuln,Vuln,⚠️ 5,✅,⚠️ 2,✅,✅ 0,—,🔴 VULN,🔴 VULN,🟡 4/10,🔴 2/10,🔴 3/10
