ID;Text;Label;N words;Source
D3-11;Driven by exciting developments in the field of nanotechnology, which is one of the most prominent research areas of our time, the demand of novel materials with precisely adjustable properties and structures has steadily increased, especially for the construction of electronic devices. The current approach following continuous downsizing of the structural patterns of silica-based semiconductors and other nanoelectronic devices is intrinsically limited by physical laws (top-down approach). To overcome this particular and important problem a promising, but chemically rather challenging alternative, the so called bottom-up approach, is nowadays extensively investigated. The underlying principle of this method is the linkage of nano-sized building block units to create larger areas of defined and highly ordered nanostructures with designed properties.;Human;117;Paper
D3-12;Ionic bonding results from the electrostatic attraction of oppositely charged ions that are typically produced by the transfer of electrons between metallic and nonmetallic atoms. A different type of bonding results from the mutual attraction of atoms for a shared  pair of electrons. Such bonds are called covalent bonds. Covalent bonds are formed between two atoms when both have similar tendencies to attract electrons to themselves (i.e., when both atoms have identical or fairly similar ionization energies and electron affinities). For example, two hydrogen atoms bond covalently to form an H2 molecule, each hydrogen atom in the H2 molecule has two electrons stabilizing it, giving each atom the same number of valence electrons as the noble gas.;Human;117;Quora
D3-13;Plate tectonics is the scientific theory explaining how Earth's lithosphere—the rigid outer layer consisting of the crust and uppermost mantle—is divided into several large and small plates that move relative to one another. These plates float on the semi-fluid asthenosphere beneath them, driven primarily by convection currents in the mantle. Where plates meet, three main types of boundaries form: convergent (plates collide, creating mountains and subduction zones), divergent (plates separate, forming rifts and mid-ocean ridges), and transform (plates slide past each other, causing earthquakes). This continuous movement, occurring at rates of 1-15 cm annually, explains diverse geological phenomena including mountain formation, earthquakes, volcanic activity, and continental drift. Developed in the 1960s, plate tectonics revolutionized our understanding of Earth's dynamic surface.;AI;120;Claude
D3-14;Plate tectonics is the scientific theory that describes the movement of the Earth's lithosphere, which is divided into several large and small plates. These plates are composed of the Earth's crust and the upper mantle (lithosphere) and float on a semi-fluid layer of the mantle called the asthenosphere. The movement of these plates is driven by convection currents in the Earth's mantle, which are caused by heat from the Earth's core. As the plates move, they interact in various ways: when two plates collide, they can form mountain ranges like the Himalayas, when they move apart, rift valleys and mid-ocean ridges are created. Additionally, volcanic activity and earthquakes are common at plate boundaries. ;AI;113;DeepSeek
D3-15;Tectonic plates are relatively rigid and float across the ductile asthenosphere beneath. Lateral density variations in the mantle result in convection currents, the slow creeping motion of Earth's solid mantle. At a seafloor spreading ridge, plates move away from the ridge, and the newly formed crust cools as it moves away, increasing its density and contributing to the motion. At a subduction zone, the relatively cold, dense oceanic crust sinks down into the mantle, forming the downward convecting limb of a mantle cell, which is the strongest driver of plate motion. The relative importance and interaction of other proposed factors such as active convection, upwelling inside the mantle, and tidal drag of the Moon is still the subject of debate.;Human;120;Wikipedia
D3-16;At present, young oceanic lithosphere is positively buoyant, and it does not become negatively buoyant until it is older than about 20 m.y. If, in the past, the mantle was hotter, the oceanic crust would have been thicker and the lithosphere's age of neutral buoyancy greater. On the other hand, the hotter mantle would have had a lower viscosity and convected faster, so the average age of oceanic plates at subduction would have been less than the present 100 m.y. At some time in the past, average oceanic lithosphere would have only just become negatively buoyant as it reached a subduction zone.;Human;102;Paper
D3-17;Plate tectonics is the scientific theory that explains the movement of Earth’s lithospheric plates, which float on the semi-fluid asthenosphere beneath them. These plates constantly shift due to convection currents in the Earth’s mantle, leading to interactions at their boundaries. There are three main types of plate boundaries: divergent, where plates move apart (forming mid-ocean ridges), convergent, where they collide (creating mountains or subduction zones), and transform, where they slide past each other (causing earthquakes). Plate tectonics is responsible for earthquakes, volcanic activity, mountain formation, and continental drift. It also plays a crucial role in Earth’s climate regulation and geological evolution, shaping the planet’s surface over millions of years.;AI;109;GPT
D3-18;"Developed from the 1950s through the 1970s, plate tectonics is the modern version of continental drift, a theory first proposed by scientist Alfred Wegener in 1912. Wegener didn't have an explanation for how continents could move around the planet, but researchers do now. Plate tectonics is the unifying theory of geology, said Nicholas van der Elst, a seismologist at Columbia University's Lamont-Doherty Earth Observatory in Palisades, New York. ""Before plate tectonics, people had to come up with explanations of the geologic features in their region that were unique to that particular region,"" Van der Elst said. ""Plate tectonics unified all these descriptions and said that you should be able to describe all geologic features.""";Human;114;Quora
D3-19;Introductory textbooks contrast Lamarckism with Charles Darwin's theory of evolution by natural selection. However, Darwin's book On the Origin of Species gave credence to the idea of heritable effects of use and disuse, as Lamarck had done, and his own concept of pangenesis similarly implied soft inheritance. Many researchers from the 1860s onwards attempted to find evidence for Lamarckian inheritance, but these have all been explained away,[4][5] either by other mechanisms such as genetic contamination or as fraud. August Weismann's experiment, considered definitive in its time, is now considered to have failed to disprove Lamarckism, as it did not address use and disuse. Later, Mendelian genetics supplanted the notion of inheritance of acquired traits´.;Human;114;Wikipedia
D3-20;The first meaning of Lamarckism is the notion that acquired characters can or will be inherited. Jean Baptiste de Lamarck strongly promoted this idea, but it was not original to him.Footnote2 We discuss this notion of Lamarckism extensively below. A second strong theme in the writings of Lamarck, which he developed rather than originated, is the idea that evolution involves increasing complexity. Although later Lamarckians such as Herbert Spencer took up this idea, it has today grown beyond its Lamarckian associations, and is rarely associated specifically with the Lamarckian label. A third use of the Lamarckian label associates it with the emphasis on will, choice, anticipation, or volitional activity in the process of evolutionary change. ;Human;115;Paper
D3-21;Lamarck’s theory of evolution, proposed by Jean-Baptiste Lamarck in the early 19th century, suggested that organisms evolve through the inheritance of acquired characteristics. He believed that traits developed during an organism’s lifetime, due to use or disuse, could be passed on to offspring. For example, he theorized that giraffes developed long necks because they stretched to reach higher leaves, and this trait was inherited by their descendants. While his ideas were later disproven by modern genetics and Darwin’s theory of natural selection, Lamarck played a key role in early evolutionary thought. His work contributed to the understanding that species change over time, even though the mechanism he proposed was incorrect.;AI;110;GPT
D3-22;It remains to be seen whether or not epigenetics will actually have any significant impact as an evolutionary mechanism. The issue is that, so far, we have no evidence that epigenetic alterations can persist over evolutionarily relevant periods of time. The alterations in gene expression that occur in the offspring are wholly reversible, and while there are some examples where we see the changes linger over a handful of generations, most of the time they are erased by the time the affected offspring has its own offspring. Barring additional mutations (which is a Neo-Darwinian mechanism) there is no permanent alteration in the heritable information passed down to future generations in the long term.;Human;113;Quora
D3-23;Jean-Baptiste Lamarck's theory of evolution, proposed in the early 19th century, centers on two key principles: the law of use and disuse, and the inheritance of acquired characteristics. Lamarck suggested that organisms develop traits based on their needs, with frequently used body parts becoming stronger and enlarged, while unused parts atrophy. Crucially, he claimed these acquired modifications could be passed to offspring. His classic example described giraffes stretching to reach high leaves, gradually elongating their necks over generations. Lamarck also proposed that all organisms have an inherent drive toward increasing complexity. Though largely discredited by modern genetics—which shows acquired physical changes don't alter heritable DNA—his work represented an important early attempt to explain species adaptation and diversity.;AI;117;Claude
D3-24;Jean-Baptiste Lamarck's theory of evolution, developed in the early 19th century, proposed that organisms can acquire traits during their lifetimes through the use or disuse of body parts, and these traits can be inherited by their offspring. Lamarck's theory emphasized two main ideas: the use and disuse of organs and the inheritance of acquired characteristics. Use and Disuse: Lamarck suggested that frequent use of certain body parts leads to their development and strengthening, while parts that are rarely used atrophy. For example, he might argue that giraffes developed longer necks by repeatedly stretching to reach higher foliage, and these elongated necks were then passed on to their offspring.;AI;108;DeepSeek
D3-25;Michaelis-Menten kinetics is a fundamental model in biochemistry that describes how the rate of an enzyme-catalyzed reaction changes with the concentration of its substrate. This model, developed by Leonor Michaelis and Maud Menten, helps us understand the relationship between an enzyme's activity and the amount of substrate available. At low substrate concentrations, the reaction rate increases as more substrate becomes available, allowing the enzyme to become more active. However, as the substrate concentration continues to increase, the enzyme becomes fully occupied, reaching a point where the reaction rate no longer increases—this is known as the maximum reaction rate, or Vmax.;AI;100;DeepSeek
D3-26;The equation commonly called the Michaelis–Menten equation is sometimes attributed to other authors. However, although Victor Henri had derived the equation from the correct mechanism, and Adrian Brown before him had proposed the idea of enzyme saturation, it was Leonor Michaelis and Maud Menten who showed that this mechanism could also be deduced on the basis of an experimental approach that paid proper attention to pH and spontaneous changes in the product after formation in the enzyme-catalysed reaction. By using initial rates of reaction they avoided the complications due to substrate depletion, product accumulation and progressive inactivation of the enzyme that had made attempts to analyse complete time courses very difficult.;Human;111;Paper
D3-27;A system in a steady state condition is ordinarily one in which there is a continuous flow of matter and energy through it but where none of the rates or concentrations change with time. That is never the case in a typical enzyme kinetics experiment where you start with a solution of enzyme, substrate, and buffer and the reaction continues with steadily changing reaction rate, substrate concentration, and product concentration until it reaches an equilibrium and there is no longer any net reaction. That equilibrium is a very special case of steady state. However inside a cell there may be situations that persist for a while where, for example, a constant input of glucose transported into the cell. ;Human;118;Quora
D3-28;Michaelis-Menten kinetics, developed by Leonor Michaelis and Maud Menten in 1913, describes the rate of enzyme-catalyzed reactions involving single substrate transformation into products. The model mathematically relates reaction velocity to substrate concentration through a hyperbolic curve characterized by two key parameters: the maximum reaction rate (Vmax) when all enzyme is saturated, and the Michaelis constant (KM), which equals the substrate concentration at half-maximum velocity. This relationship is expressed by the equation: v = (Vmax[S])/(KM + [S]), where v is reaction velocity and [S] is substrate concentration At low substrate concentrations, the reaction is first-order with respect to substrate, while at high concentrations, it approaches zero-order kinetics as the enzyme becomes saturated.;AI;111;Claude
D3-29;Michaelis-Menten enzyme kinetics describes how enzymes catalyze reactions by forming an enzyme-substrate complex. It explains the relationship between substrate concentration and reaction rate using the Michaelis-Menten equation: V = V_max [S]/{K_m + [S]), where V is the reaction rate, Vₘₐₓ is the maximum velocity, [S] is the substrate concentration, and Kₘ (Michaelis constant) represents the substrate concentration at half Vₘₐₓ. A low Kₘ indicates high enzyme affinity for the substrate, while a high Kₘ suggests lower affinity. This model assumes steady-state conditions and is fundamental in understanding enzyme efficiency, inhibition, and drug design. However, it applies mainly to simple, single-substrate reactions and does not account for complex enzyme behaviors.;AI;109;GPT
D3-30;Enzyme kinetics is the study of the rates of enzyme-catalysed chemical reactions. In enzyme kinetics, the reaction rate is measured and the effects of varying the conditions of the reaction are investigated. Studying an enzyme's kinetics in this way can reveal the catalytic mechanism of this enzyme, its role in metabolism, how its activity is controlled, and how a drug or a modifier (inhibitor or activator) might affect the rate. An enzyme (E) is a protein molecule that serves as a biological catalyst to facilitate and accelerate a chemical reaction in the body. It does this through binding of another molecule, its substrate (S), which the enzyme acts upon to form the desired product.;Human;114;Wikipedia
D3-31;The potential for an H5N1 pandemic is a significant public health concern, though currently, the risk is relatively low. H5N1 is a subtype of the Influenza A virus primarily found in birds, with occasional transmission to humans. Its high mortality rate among infected individuals underscores the concern, but the virus's limited human-to-human transmissibility has thus far prevented pandemic spread. Key considerations include: Mutation Potential: The virus could mutate to become more contagious, increasing the risk of a pandemic. This underscores the importance of continuous surveillance to detect such mutations early. Preventive Measures: Global health organizations are working on vaccines and medications to control outbreaks. These efforts must be supported with robust infrastructure to ensure equitable distribution, especially in resource-limited regions.;AI;120;DeepSeek
D3-32;The H5N1 virus is a highly pathogenic strain of avian influenza (bird flu) that primarily affects birds but can infect humans and other animals. It was first detected in geese in China in 1996 and has since caused outbreaks in poultry worldwide. Human infections are rare but can be severe, with a high fatality rate, often due to respiratory complications. Transmission occurs mainly through direct contact with infected birds or contaminated environments, but human-to-human spread is very limited. Symptoms include fever, cough, sore throat, and severe pneumonia. Due to its potential to mutate and cause a pandemic, H5N1 is closely monitored by health organizations, and vaccines are being developed to counter its threat.;AI;113;GPT
D3-33;Ongoing outbreaks of H5N1 avian influenza in migratory waterfowl, domestic poultry, and humans in Asia during the summer of 2005 present a continuing, protean pandemic threat. We review the zoonotic source of highly pathogenic H5N1 viruses and their genesis from their natural reservoirs. The acquisition of novel traits, including lethality to waterfowl, ferrets, felids, and humans, indicates an expanding host range. The natural selection of nonpathogenic viruses from heterogeneous subpopulations cocirculating in ducks contributes to the spread of H5N1 in Asia. Transmission of highly pathogenic H5N1 from domestic poultry back to migratory waterfowl in western China has increased the geographic spread. The spread of H5N1 and its likely reintroduction to domestic poultry increase the need for good agricultural vaccines.;Human;119;Paper
D3-34;"Since 2020, outbreaks of avian influenza subtype H5N1 have been occurring, with cases reported from every continent except Australia as of February 2025. Some species of wild aquatic birds act as natural asymptomatic carriers of a large variety of influenza A viruses, which can infect poultry, other bird species, mammals (including humans) if they come into close contact with infected feces or contaminated material, or by eating infected birds. In late 2023, H5N1 was discovered in the Antarctic for the first time, raising fears of imminent spread throughout the region, potentially leading to a ""catastrophic breeding failure"" among animals that had not previously been exposed to avian influenza viruses.";Human;109;Wikipedia
D3-35;H5N1 is a highly pathogenic avian influenza virus that has been affecting numerous wild and domestic bird species worldwide over past decades. Since 1996, it has circulated in at least 23 countries, spreading from Europe to North America in late 2021 and to South America in 2022, where it devastated bird populations and marine mammals. The situation has become more concerning recently with H5N1 adapting to new mammalian hosts There have been several concerning reports in 2024 including the first H5N1-related human death in the United States, reported by the Louisiana Department of Health in 2025. Scientists consider H5N1 a strong contender to cause the next human influenza pandemic. The primary concern is the virus's ongoing adaptation to mammals.;AI;119;Claude
D3-36;"Asian HPAI H5N1 was first detected in humans in 1997 during a poultry outbreak in Hong Kong and has since been detected in poultry and wild birds in more than 50 countries in Africa, Asia, Europe, and the Middle East. H5N1 is a type of influenza virus called avian influenza (or ""bird flu""). Human cases of avian influenza occur occasionally, viruses infect the respiratory tract of humans, causing severe illness (e.g. pneumonia and respiratory failure) and death in some people. Asian flu is most often contracted by contact with sick birds. It can also be passed from person to person. Symptoms begin within two to eight days, and can seem like the common flu.";Human;114;Quora
D3-37;An anticyclone is a weather system characterized by high atmospheric pressure at its center, causing air to descend and spread outward. This descending air inhibits cloud formation, leading to clear skies and stable weather conditions. In the Northern Hemisphere, anticyclones rotate clockwise, while in the Southern Hemisphere, they rotate counterclockwise, due to the Coriolis effect. They often bring dry, calm, and sunny weather, but in winter, they can cause cold temperatures and fog. Anticyclones can last for days or even weeks, influencing regional climates by blocking storm systems. These systems contrast with cyclones, which involve low pressure and rising air, often leading to storms and heavy precipitation.;AI;107;GPT
D3-38;High-pressure areas form due to downward motion through the troposphere, the atmospheric layer where weather occurs. Preferred areas within a synoptic flow pattern in higher levels of the troposphere are beneath the western side of troughs. On weather maps, these areas show converging winds (isotachs), also known as convergence, near or above the level of non-divergence, which is near the 500 hPa pressure surface about midway up through the troposphere, and about half the atmospheric pressure at the surface. High pressure systems are also called anticyclones. On English-language weather maps, high-pressure centers are identified by the letter H in English, within the isobar with the highest pressure value.;Human;108;Wikipedia
D3-39;Cyclones are typically regions of bad weather, anticyclones are usually meteorologically quiet and calm regions. Anticyclones are downward air motions and provide dry stable air that may extend horizontally over a location. It affects the weather pattern as anticyclonic circulation is opposed to the Earth's rotation. Winds, generally light, circulate the high-pressure center in a clockwise direction in the Northern Hemisphere and anticlockwise in the Southern Hemisphere. Air at the center of an anticyclone is moved away from the high pressure and is replaced in the center by a downward draft of air from higher altitudes. As this air moves downward, it is compressed and warmed, resulting in few clouds and low humidity in the anticyclone.;Human;116;Quora
D3-40;An anticyclone is a weather system characterized by a region of high atmospheric pressure relative to the surrounding areas. In weather maps, anticyclones are denoted by 'H' and represent areas where air is sinking, which results in dry and stable conditions. This sinking air warms and compresses, leading to clear skies and often calm weather. Wind patterns around an anticyclone blow clockwise in the Northern Hemisphere and counterclockwise in the Southern Hemisphere due to the Earth's rotation, a phenomenon known as the Coriolis effect. Anticyclones typically bring sunny, dry weather, making them associated with good conditions. However, they can occasionally result in fog or smog, especially in areas with poor air circulation, as the stable air layer traps pollutants.;AI;119;DeepSeek
D3-41;Polyphenols are a group of naturally occurring compounds found in plants. They are characterized by their chemical structure and have been recognized for their potential health benefits. Polyphenols act as antioxidants, meaning they can help protect cells from damage caused by free radicals. Polyphenols have gained significant attention due to their potential antioxidant and anti-inflammatory effects. They can act as antioxidants by scavenging and neutralizing harmful free radicals in the body, thereby protecting cells from oxidative damage. Polyphenols are found in a wide variety of plant-based foods, including: Fruits: Berries (such as blueberries, strawberries, raspberries, and blackberries), cherries, grapes, apples, pears, citrus fruits (such as oranges, lemons, and grapefruits), pomegranates, and avocados.;Human;112;Quora
D3-42;The anthocyanins present in blackberries and raspberries are important for the beneficial health effects associated with their antioxidant, anti-inflammatory, and chemopreventative properties, the biological activity of black raspberry against esophageal, colon, and oral cancers has been demonstrated. It has long been established that cyanidin-3-glucoside and cyanidin-3-rutinoside are the respective major and minor anthocyanins in blackberries (Fan-Chiang and Wrolstad, 2005). It is also known that cyanidin-3-sambubioside, cyanidin-3-glucoside, cyanidin-3-xylosylrutinoside and cyanidin-3-rutinoside are commonly found in black raspberries. In addition to anthocyanins, these fruits are also a rich natural source of other chemopreventative phytochemicals such as flavonols, phenolic acids, ellagic acid, vitamins C and E, folic acid and β-sitosterol.;Human;106;Paper
D3-43;Anthocyanins are natural pigments responsible for the vibrant red, blue, and purple hues in many fruits, vegetables, and flowers. As potent antioxidants, they play a crucial role in protecting the body from oxidative stress, which is associated with various chronic diseases. Found abundantly in berries, grapes, and certain vegetables, anthocyanins have been studied for their potential in reducing inflammation, enhancing heart health, and potentially offering protection against cancer. Their anti-inflammatory and antioxidant properties make them a focal point in both nutrition and medical research, highlighting their significant role in promoting overall health and preventing chronic conditions. Incorporating anthocyanin-rich foods into the diet may provide substantial health benefits, contributing to well-being and longevity.;AI;112;DeepSeek
D3-44;Anthocyanins are found in the cell vacuole, mostly in flowers and fruits, but also in leaves, stems, and roots. In these parts, they are found predominantly in outer cell layers such as the epidermis and peripheral mesophyll cells. Most frequently occurring in nature are the glycosides of cyanidin, delphinidin, malvidin, pelargonidin, peonidin, and petunidin. Roughly 2% of all hydrocarbons fixed in photosynthesis are converted into flavonoids and their derivatives, such as the anthocyanins. Not all land plants contain anthocyanin, in the Caryophyllales (including cactus, beets, and amaranth), they are replaced by betalains. Anthocyanins and betalains have never been found in the same plant.;Human;103;Wikipedia
D3-45;Anthocyanins are pigments belonging to the flavonoid family, responsible for the red, purple, and blue colors in many fruits, vegetables, and flowers. Found in berries, grapes, red cabbage, and black rice, they serve as antioxidants, helping to neutralize free radicals and reduce oxidative stress. Studies suggest anthocyanins may have potential health benefits, including anti-inflammatory, cardiovascular, neuroprotective, and anti-cancer properties. They may also support eye health, improve cognitive function, and help regulate blood sugar levels. Additionally, their natural pigmentation makes them useful as natural food colorants. Ongoing research explores their role in disease prevention and their potential applications in functional foods and pharmaceuticals.;AI;102;GPT
D3-46;Anthocyanins are water-soluble plant pigments belonging to the flavonoid family that create the vivid red, purple, and blue colors in fruits, vegetables, and flowers. Abundant in berries, grapes, red cabbage, and purple sweet potatoes, these compounds represent one of nature's most powerful antioxidant classes. Research indicates significant health-promoting potential, including anti-inflammatory, cardioprotective, and neuroprotective properties. Studies suggest anthocyanins may help manage diabetes by improving insulin sensitivity, reduce cancer risk through multiple mechanisms, and support vision health. Their pH-sensitive color-changing properties make them valuable as natural food colorants and pH indicators in various applications. The food industry increasingly uses anthocyanin-rich extracts as alternatives to synthetic dyes, while researchers continue exploring their pharmaceutical potential in preventing chronic diseases.;AI;116;Claude
D3-47;The evolutionary mechanisms that lead to codon reassignment and emergence of deviant codes are not thoroughly understood, but clearly they must involve changes in tRNA specificity or to the evolution of new specificities in the case of stop codon recruitment. Sengupta, Higgs, and coworkers  have captured these mechanisms within a gain and loss framework, where gain refers to acquisition of a new tRNA specificity, often following duplication of a tRNA gene, and loss refers to the elimination of a tRNA specificity, typically via deletion. There is no clear evidence that any modern code variants are associated with adaptation. Most likely, they emerge via neutral evolutionary processes, namely genetic drift and mutational pressure that drives small genomes toward low GC content.;Human;120;Paper
D3-48;The origin of the genetic code remains a fundamental question in evolutionary biology. It is believed to have emerged in early RNA-based life forms before the evolution of DNA and proteins. One theory suggests that the first genetic molecules were self-replicating RNA strands, which could both store information and catalyze chemical reactions. Over time, specific nucleotide sequences began coding for amino acids, leading to the formation of simple peptides. As natural selection favored more efficient protein synthesis, the code evolved into a triplet system to accommodate 20 amino acids. The universality of the genetic code suggests a common ancestor for all life, shaped by early biochemical constraints and evolutionary pressures.;AI;110;GPT
D3-49;"Within cells, genetic information is stored in DNA molecules and RNA molecules. These molecules are made up of building blocks called nucleotides that are linked together in a chain. There are 4 kinds of nucleotide, with names beginning with letters A,C, T, and G. Messenger RNA is transcribed from sequences in the DNA called genes. Proteins are a different kind of molecule that is made of 20 different kinds of amino acid building blocks.
There is a molecular machine called a ribosome that uses a program consisting of a messenger RNA molecule. Sequences of 3 nucleotides encode one amino acid for that the ribosome puts together to make the protein. ";Human;109;Quora
D3-50;The emergence of the genetic code remains one of biology's greatest mysteries. The leading theory—the RNA world hypothesis—suggests that RNA initially served both as genetic material and catalyst before DNA and proteins evolved. Early protocells likely used simple nucleotide systems that gradually developed into more complex coding mechanisms. The modern code likely evolved through a process of chemical constraints, frozen accidents, and natural selection. Selection pressures would have favored error minimization, with similar amino acids often assigned to similar codons. The code's near-universality across all life forms suggests it emerged only once, about 3.5-4 billion years ago. Later refinements optimized the system, balancing robustness against mutations with translation efficiency.;AI;109;Claude
D3-51;We have no idea. The building blocks of life as we know it are chemicals called amino acids. We know that they can form naturally, in lightning strikes and other energetic phenomena. But how did we get from amino acids to RNA, the fundamental unit of advanced life, is a complete mystery. How many times did that happen independently? Once? A zillion times? We don't know because we have no idea what the mechanism is. Some people argue that it happened so rapidly on Earth, that the probability must be high. Therefore, there must be abundant life near other stars.;Human;100;Quora
D3-52;Microbial mats of coexisting bacteria and archaea were the dominant form of life in the early Archean eon, and many of the major steps in early evolution are thought to have taken place in this environment. The evolution of photosynthesis by cyanobacteria, around 3.5 Ga, eventually led to a buildup of its waste product, oxygen, in the oceans. After free oxygen saturated all available reductant substances on the Earth's surface, it built up in the atmosphere, leading to the Great Oxygenation Event around 2.4 Ga. The earliest evidence of eukaryotes (complex cells with organelles) dates from 1.85 Ga, likely due to symbiogenesis between anaerobic archaea and aerobic proteobacteria in co-adaptation against the new oxidative stress.;Human;115;Wikipedia
D3-53;The origin of life on Earth remains a complex and debated topic, but most scientific theories suggest it began around 3.5 to 4 billion years ago. The primordial soup hypothesis proposes that organic molecules formed in Earth’s early atmosphere through chemical reactions, possibly triggered by lightning or volcanic activity. These molecules eventually led to the formation of self-replicating systems, such as RNA, which could store genetic information and catalyze reactions. Another theory, hydrothermal vent theory, suggests life may have originated in deep-sea vents, where mineral-rich water provided the necessary conditions for early biochemical reactions. Some scientists also consider the panspermia hypothesis, which proposes that life’s building blocks came from space via comets or meteorites.;AI;114;GPT
D3-54;Estimates of the time at which life arose on Earth make use of two types of evidence. First, astrophysical and geophysical studies provide a timescale for the formation of Earth and the Moon, for large impact events on early Earth, and for the cooling of the early magma ocean. From this evidence, we can deduce a habitability boundary, which is the earliest point at which Earth became habitable. Second, biosignatures in geological samples, including microfossils, stromatolites, and chemical isotope ratios, provide evidence for when life was actually present. From these observations we can deduce a biosignature boundary, which is the earliest point at which there is clear evidence that life existed.;Human;111;Paper
